"date,""close"",""volume"",""open"",""high"",""low"""
"2017/08/11,""930.0900"",""1615509.0000"",""923.7100"",""933.3600"",""921.2200"""
"2017/08/10,""923.5900"",""2704040.0000"",""935.0000"",""936.3000"",""921.7768"""
"2017/08/09,""940.0800"",""1396204.0000"",""938.4500"",""943.7600"",""933.9200"""
"2017/08/08,""944.1900"",""1499665.0000"",""944.2900"",""952.4900"",""942.4800"""
"2017/08/07,""945.7500"",""1444154.0000"",""947.5200"",""948.9600"",""943.5000"""
"2017/08/04,""945.7900"",""1202478.0000"",""943.9500"",""947.5400"",""939.7950"""
"2017/08/03,""940.3000"",""1051251.0000"",""949.1000"",""950.0000"",""939.4400"""
"2017/08/02,""947.6400"",""2037607.0000"",""948.3700"",""949.1000"",""932.5210"""
"2017/08/01,""946.5600"",""1324952.0000"",""947.8100"",""954.4900"",""944.9600"""
"2017/07/31,""945.5000"",""2289972.0000"",""960.0000"",""961.1925"",""941.7250"""
"2017/07/28,""958.3300"",""1813698.0000"",""947.9900"",""961.7900"",""945.3100"""
"2017/07/27,""952.5100"",""3710908.0000"",""969.1800"",""969.5200"",""937.0600"""
"2017/07/26,""965.3100"",""2190430.0000"",""972.7800"",""973.9500"",""960.2300"""
"2017/07/25,""969.0300"",""5929386.0000"",""970.7000"",""976.7300"",""963.8000"""
"2017/07/24,""998.3100"",""3894298.0000"",""994.1000"",""1006.1900"",""990.2728"""
"2017/07/21,""993.8400"",""1461289.0000"",""989.0000"",""995.1100"",""984.1700"""
"2017/07/20,""992.1900"",""1415715.0000"",""997.0000"",""998.6800"",""984.6200"""
"2017/07/19,""992.7700"",""1397612.0000"",""990.0100"",""995.6000"",""987.0100"""
"2017/07/18,""986.9500"",""1406825.0000"",""973.3600"",""990.8500"",""972.0400"""
"2017/07/17,""975.9600"",""1655881.0000"",""976.3200"",""983.3500"",""970.8000"""
"2017/07/14,""976.9100"",""1071565.0000"",""974.0000"",""977.5400"",""970.1500"""
"2017/07/13,""968.8500"",""1523367.0000"",""970.8000"",""978.7000"",""964.8000"""
"2017/07/12,""967.6600"",""1599395.0000"",""960.8600"",""969.6300"",""957.0400"""
"2017/07/11,""953.5300"",""1460582.0000"",""950.5200"",""954.8900"",""945.1200"""
"2017/07/10,""951.0000"",""1411447.0000"",""941.9500"",""953.1300"",""941.9500"""
"2017/07/07,""940.8100"",""1618240.0000"",""930.9850"",""944.6600"",""929.7900"""
"2017/07/06,""927.6900"",""2013940.0000"",""925.0000"",""936.1400"",""919.8500"""
"2017/07/05,""932.2600"",""2091688.0000"",""924.2000"",""936.2900"",""918.6305"""
"2017/07/03,""919.4600"",""1694811.0000"",""933.2200"",""934.2400"",""915.3100"""
"2017/06/30,""929.6800"",""2284968.0000"",""943.9900"",""944.9995"",""929.6100"""
"2017/06/29,""937.8200"",""3203172.0000"",""951.3500"",""951.6600"",""929.6000"""
"2017/06/28,""961.0100"",""2738594.0000"",""950.6600"",""963.2400"",""936.1600"""
"2017/06/27,""948.0900"",""2441709.0000"",""961.6000"",""967.2200"",""947.0900"""
"2017/06/26,""972.0900"",""1516569.0000"",""990.0000"",""993.9900"",""970.3300"""
"2017/06/23,""986.0900"",""1547282.0000"",""975.5000"",""986.6200"",""974.4600"""
"2017/06/22,""976.6200"",""1000823.0000"",""976.8700"",""980.5000"",""973.3148"""
"2017/06/21,""978.5900"",""1146174.0000"",""970.7900"",""979.6700"",""969.1600"""
"2017/06/20,""968.9900"",""1295749.0000"",""975.3100"",""980.7900"",""968.2000"""
"2017/06/19,""975.2200"",""1457679.0000"",""969.6500"",""979.3000"",""968.2000"""
"2017/06/16,""958.6200"",""2545774.0000"",""957.9100"",""959.9500"",""948.7000"""
"2017/06/15,""960.1800"",""2359537.0000"",""948.0200"",""960.6775"",""940.3700"""
"2017/06/14,""967.9300"",""1499740.0000"",""975.5000"",""979.7000"",""959.5103"""
"2017/06/13,""970.5000"",""2003870.0000"",""972.0400"",""977.9100"",""962.0100"""
"2017/06/12,""961.8100"",""4197440.0000"",""958.7200"",""968.0000"",""936.7950"""
"2017/06/09,""970.1200"",""3641666.0000"",""1005.4900"",""1005.5000"",""953.3700"""
"2017/06/08,""1004.2800"",""1681384.0000"",""1004.2300"",""1005.6000"",""996.6200"""
"2017/06/07,""1001.5900"",""1372171.0000"",""998.8200"",""1003.9100"",""995.8100"""
"2017/06/06,""996.6800"",""1550707.0000"",""1003.3100"",""1008.6100"",""994.8000"""
"2017/06/05,""1003.8800"",""1377881.0000"",""997.8900"",""1007.4011"",""995.4500"""
"2017/06/02,""996.1200"",""1734937.0000"",""988.5900"",""996.4800"",""987.0700"""
"2017/06/01,""988.2900"",""1304027.0000"",""990.9600"",""993.1400"",""981.2900"""
"2017/05/31,""987.0900"",""1725641.0000"",""996.2100"",""999.6000"",""981.6800"""
"2017/05/30,""996.1700"",""1516553.0000"",""992.5000"",""997.6200"",""991.3601"""
"2017/05/26,""993.2700"",""1632390.0000"",""992.0000"",""996.3900"",""987.3600"""
"2017/05/25,""991.8600"",""1952802.0000"",""979.0000"",""995.7800"",""977.8200"""
"2017/05/24,""977.6100"",""1137638.0000"",""975.2600"",""978.1150"",""971.6299"""
"2017/05/23,""970.5500"",""1544900.0000"",""969.9600"",""974.5100"",""964.5000"""
"2017/05/22,""964.0700"",""1384904.0000"",""957.0000"",""964.8200"",""956.5600"""
"2017/05/19,""954.6500"",""1359893.0000"",""952.8200"",""959.5600"",""952.0000"""
"2017/05/18,""950.5000"",""1799512.0000"",""943.2000"",""954.1800"",""941.2700"""
"2017/05/17,""942.1700"",""2446966.0000"",""959.7000"",""960.9900"",""940.0600"""
"2017/05/16,""964.6100"",""1099818.0000"",""963.5500"",""965.8955"",""960.3500"""
"2017/05/15,""959.2200"",""1332065.0000"",""955.2900"",""962.7000"",""952.8200"""
"2017/05/12,""955.1400"",""1214614.0000"",""957.8500"",""957.9800"",""952.0600"""
"2017/05/11,""955.8900"",""1031011.0000"",""951.2900"",""957.9900"",""948.6100"""
"2017/05/10,""954.8400"",""1145842.0000"",""956.2200"",""956.7100"",""949.8400"""
"2017/05/09,""956.7100"",""1686770.0000"",""961.3300"",""962.2000"",""954.4000"""
"2017/05/08,""958.6900"",""1875308.0000"",""947.4500"",""960.9900"",""947.3950"""
"2017/05/05,""950.2800"",""1614381.0000"",""956.7200"",""958.4395"",""948.0986"""
"2017/05/04,""954.7200"",""1937977.0000"",""950.2900"",""959.1400"",""947.3700"""
"2017/05/03,""948.4500"",""1820150.0000"",""936.0500"",""950.2000"",""935.2100"""
"2017/05/02,""937.0900"",""1749432.0000"",""933.2700"",""942.9850"",""931.0000"""
"2017/05/01,""932.8200"",""2325611.0000"",""924.1500"",""935.8200"",""920.8000"""
"2017/04/28,""924.5200"",""3804599.0000"",""929.0000"",""935.9000"",""923.2200"""
"2017/04/27,""891.4400"",""2306341.0000"",""890.0000"",""893.3774"",""887.1800"""
"2017/04/26,""889.1400"",""1319855.0000"",""891.3900"",""892.9900"",""885.1500"""
"2017/04/25,""888.8400"",""2031687.0000"",""882.2600"",""892.2500"",""879.2801"""
"2017/04/24,""878.9300"",""1691946.0000"",""868.4400"",""879.9600"",""866.1100"""
"2017/04/21,""858.9500"",""1171407.0000"",""860.6200"",""862.4400"",""857.7300"""
"2017/04/20,""860.0800"",""1187137.0000"",""859.7400"",""863.9300"",""857.5000"""
"2017/04/19,""856.5100"",""1078820.0000"",""857.3850"",""860.2000"",""853.5275"""
"2017/04/18,""853.9900"",""935216.0000"",""852.5400"",""857.3900"",""851.2500"""
"2017/04/17,""855.1300"",""1046754.0000"",""841.3800"",""855.6400"",""841.0300"""
"2017/04/13,""840.1800"",""1071248.0000"",""841.0400"",""843.7300"",""837.8503"""
"2017/04/12,""841.4600"",""1135641.0000"",""838.4600"",""843.7200"",""837.5900"""
"2017/04/11,""839.8800"",""973875.0000"",""841.7000"",""844.6300"",""834.6000"""
"2017/04/10,""841.7000"",""1045369.0000"",""841.5400"",""846.7372"",""840.7900"""
"2017/04/07,""842.1000"",""1110404.0000"",""845.0000"",""845.8800"",""837.3000"""
"2017/04/06,""845.0950"",""1530251.0000"",""849.5000"",""853.5900"",""844.0000"""
"2017/04/05,""848.9100"",""1851632.0000"",""854.7100"",""860.5900"",""847.5200"""
"2017/04/04,""852.5700"",""1346500.0000"",""848.0000"",""853.0000"",""847.5050"""
"2017/04/03,""856.7500"",""1968062.0000"",""848.7500"",""859.0000"",""847.5298"""
"2017/03/31,""847.8000"",""1440202.0000"",""846.8300"",""849.5600"",""845.2445"""
"2017/03/30,""849.4800"",""948489.0000"",""851.9800"",""852.0000"",""846.7700"""
"2017/03/29,""849.8700"",""1456135.0000"",""842.7500"",""851.5850"",""841.3800"""
"2017/03/28,""840.6300"",""1517740.0000"",""839.6900"",""845.4000"",""832.2650"""
"2017/03/27,""838.5100"",""1934575.0000"",""828.0900"",""841.3800"",""824.3000"""
"2017/03/24,""835.1400"",""2102352.0000"",""842.0000"",""844.0000"",""829.1000"""
"2017/03/23,""839.6500"",""3285469.0000"",""841.3900"",""841.6900"",""833.0000"""
"2017/03/22,""849.8000"",""1361659.0000"",""849.4800"",""855.3500"",""847.0000"""
"2017/03/21,""850.1400"",""2531086.0000"",""870.0600"",""873.4700"",""847.6870"""
"2017/03/20,""867.9100"",""1528664.0000"",""869.4800"",""870.3400"",""864.6650"""
"2017/03/17,""872.3700"",""1852574.0000"",""873.6800"",""874.4200"",""868.3700"""
"2017/03/16,""870.0000"",""1103990.0000"",""870.5300"",""872.7100"",""867.5200"""
"2017/03/15,""868.3900"",""1331984.0000"",""867.9400"",""869.8800"",""861.2950"""
"2017/03/14,""865.9100"",""1059047.0000"",""863.7500"",""867.5800"",""860.1300"""
"2017/03/13,""864.5800"",""1165561.0000"",""860.8300"",""867.1300"",""860.8200"""
"2017/03/10,""861.4050"",""1336523.0000"",""862.7000"",""864.2290"",""857.6100"""
"2017/03/09,""857.8400"",""1341977.0000"",""853.6900"",""860.7100"",""852.6700"""
"2017/03/08,""853.6400"",""1029444.0000"",""853.1200"",""856.9300"",""851.2500"""
"2017/03/07,""851.1500"",""1038337.0000"",""847.2600"",""853.3300"",""845.5200"""
"2017/03/06,""847.2700"",""1046709.0000"",""846.8600"",""848.9400"",""841.1700"""
"2017/03/03,""849.0800"",""1005385.0000"",""848.9400"",""850.8200"",""844.7050"""
"2017/03/02,""849.8500"",""1249065.0000"",""856.3100"",""856.4900"",""848.7200"""
"2017/03/01,""856.7500"",""1817444.0000"",""851.3800"",""858.0000"",""849.0200"""
"2017/02/28,""844.9300"",""1381453.0000"",""847.3500"",""848.8300"",""841.4422"""
"2017/02/27,""849.6700"",""1009332.0000"",""844.9500"",""850.6700"",""843.0100"""
"2017/02/24,""847.8100"",""1345689.0000"",""847.6500"",""848.3600"",""842.9601"""
"2017/02/23,""851.0000"",""1386019.0000"",""851.0800"",""852.6200"",""842.5000"""
"2017/02/22,""851.3600"",""1224597.0000"",""848.0000"",""853.7900"",""846.7101"""
"2017/02/21,""849.2700"",""1260932.0000"",""847.9900"",""852.2000"",""846.5500"""
"2017/02/17,""846.5500"",""1459501.0000"",""841.3100"",""846.9400"",""839.7800"""
"2017/02/16,""842.1700"",""1004261.0000"",""838.5000"",""842.6900"",""837.2600"""
"2017/02/15,""837.3200"",""1356752.0000"",""838.8100"",""841.7725"",""836.2200"""
"2017/02/14,""840.0300"",""1362210.0000"",""839.7700"",""842.0000"",""835.8300"""
"2017/02/13,""838.9600"",""1295136.0000"",""837.7000"",""841.7350"",""836.2460"""
"2017/02/10,""834.8500"",""1414105.0000"",""832.9500"",""837.1500"",""830.5100"""
"2017/02/09,""830.0600"",""1193818.0000"",""831.7300"",""831.9800"",""826.5000"""
"2017/02/08,""829.8800"",""1300977.0000"",""830.5300"",""834.2500"",""825.1100"""
"2017/02/07,""829.2300"",""1666384.0000"",""825.5000"",""831.9200"",""823.2926"""
