,figi,figi_ticker,publication_date,summary,ticker,title,url
56,BBG000C3JBN9,CSCO:UW,2016-12-14 21:53:00 +0000,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations -- 3rd Update",CSCO,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations -- 3rd Update",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/yQt2L-daoBM/top-tech-executives-to-meet-trump-to-talk-jobs-regulations--3rd-update-20161214-00800
57,BBG000C3JBN9,CSCO:UW,2016-12-14 21:04:57 +0000,"F5 Networks, Akamai Technologies Upgraded On M&A Outlook",CSCO,"F5 Networks, Akamai Technologies Upgraded On M&A Outlook",http://www.investors.com/news/technology/f5-networks-akamai-technologies-upgraded-on-ma-outlook/
58,BBG000C3JBN9,CSCO:UW,2016-12-14 20:50:00 +0000,[at Investopedia] - Cisco abandons effort to beat Amazon's AWS cloud service.,CSCO,Cisco To Terminate $1B Public Cloud Unit,http://www.investopedia.com/news/cisco-terminate-1b-public-cloud-unit/?partner=YahooSA
59,BBG000C3JBN9,CSCO:UW,2016-12-14 19:47:56 +0000,"[Reuters] - A U.S. jury on Wednesday ruled that Arista Networks Inc owed no copyright damages to Cisco Systems Inc in a legal battle over user interfaces, a Cisco spokesperson said. The jury in a San Jose, California ...",CSCO,U.S. jury sides with Arista over Cisco in legal battle,http://finance.yahoo.com/news/u-jury-sides-arista-over-194756993.html
60,BBG000C3JBN9,CSCO:UW,2016-12-14 19:12:26 +0000,"[Business Insider] - Cisco has confirmed that it is killing its $1 billion cloud project known as ""Intercloud,""...",CSCO,Amazon claims another victim: Cisco kills its $1 billion cloud,http://finance.yahoo.com/news/amazon-claims-another-victim-cisco-191226692.html
61,BBG000C3JBN9,CSCO:UW,2016-12-14 18:15:12 +0000,Stocks Hover Around Break-Even Ahead Of Fed; Upgrade Lifts Akamai,CSCO,Stocks Hover Around Break-Even Ahead Of Fed; Upgrade Lifts Akamai,http://www.investors.com/market-trend/stock-market-today/stocks-bide-time-ahead-of-fed-upgrade-lifts-akamai-steel-names-rally/
62,BBG000C3JBN9,CSCO:UW,2016-12-14 17:54:15 +0000,"ETFs with exposure to Cisco Systems, Inc. : December 14, 2016",CSCO,"ETFs with exposure to Cisco Systems, Inc. : December 14, 2016",http://www.capitalcube.com/blog/index.php/etfs-with-exposure-to-cisco-systems-inc-december-14-2016/
63,BBG000C3JBN9,CSCO:UW,2016-12-14 17:50:00 +0000,Jury Rules for Arista in Cisco Copyright Case--Update,CSCO,Jury Rules for Arista in Cisco Copyright Case--Update,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/TRRuALv1Lzc/jury-rules-for-arista-in-cisco-copyright-caseupdate-20161214-01033
64,BBG000C3JBN9,CSCO:UW,2016-12-14 16:51:53 +0000,"Trump to meet top tech CEOs from Google, Apple, others",CSCO,"Trump to meet top tech CEOs from Google, Apple, others",http://sg.finance.yahoo.com/news/trump-meet-top-tech-ceos-165153155.html
65,BBG000C3JBN9,CSCO:UW,2016-12-14 16:35:00 +0000,Jury Rules for Arista in Cisco Copyright Case,CSCO,Jury Rules for Arista in Cisco Copyright Case,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ska-W29ph18/jury-rules-for-arista-in-cisco-copyright-case-20161214-00930
66,BBG000C3JBN9,CSCO:UW,2016-12-14 15:29:05 +0000,Stocks Reverse Lower Ahead Of Fed; Tech Stocks Give Nasdaq A Boost,CSCO,Stocks Reverse Lower Ahead Of Fed; Tech Stocks Give Nasdaq A Boost,http://www.investors.com/market-trend/stock-market-today/stocks-reverse-lower-ahead-of-fed-tech-stocks-give-nasdaq-a-boost/
67,BBG000C3JBN9,CSCO:UW,2016-12-14 13:58:16 +0000,Nokia Networks a division of Nokia Corp NOK recently declared that it has signed contract agreements to install 4 5G wireless network infrastructure with 110 wireless carriers globally The capabilities Nokia is rolling out under the 4 5G and 4 5G Pro labels map to the LTE Advanced Pro,CSCO,Nokia (NOK) Expands 4.5G Network Infrastructure Portfolio,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kg2RWs73JXI/nokia-nok-expands-45g-network-infrastructure-portfolio-cm721191
68,BBG000C3JBN9,CSCO:UW,2016-12-14 12:21:00 +0000,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations -- 2nd Update",CSCO,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations -- 2nd Update",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/RW_Ar-_iiyc/top-tech-executives-to-meet-trump-to-talk-jobs-regulations--2nd-update-20161214-00691
69,BBG000C3JBN9,CSCO:UW,2016-12-14 12:14:41 +0000,"Cisco Systems, Inc. breached its 50 day moving average in a Bullish Manner : CSCO-US : December 14, 2016",CSCO,"Cisco Systems, Inc. breached its 50 day moving average in a Bullish Manner : CSCO-US : December 14, 2016",http://www.capitalcube.com/blog/index.php/cisco-systems-inc-breached-its-50-day-moving-average-in-a-bullish-manner-csco-us-december-14-2016/
70,BBG000C3JBN9,CSCO:UW,2016-12-14 11:29:00 +0000,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations--Update",CSCO,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations--Update",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/O8Ma9ZMhrIs/top-tech-executives-to-meet-trump-to-talk-jobs-regulationsupdate-20161214-00630
71,BBG000C3JBN9,CSCO:UW,2016-12-14 10:00:00 +0000,[Marketwired] - Cisco,CSCO,Cisco Upgrades Telefonica's Critical Network in Spain with Cisco IOS XR & ASR 9000,http://finance.yahoo.com/news/cisco-upgrades-telefonicas-critical-network-100000630.html
72,BBG000C3JBN9,CSCO:UW,2016-12-14 09:14:00 +0000,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations",CSCO,"Top Tech Executives to Meet Trump to Talk Jobs, Regulations",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/AHZyVbpCWEM/top-tech-executives-to-meet-trump-to-talk-jobs-regulations-20161214-00472
73,BBG000C3JBN9,CSCO:UW,2016-12-14 08:14:00 +0000,GE Gives Its Digital Push a Server to the Cloud,CSCO,GE Gives Its Digital Push a Server to the Cloud,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/lmBVLQVzZ9I/ge-gives-its-digital-push-a-server-to-the-cloud-20161214-00315
74,BBG000C3JBN9,CSCO:UW,2016-12-14 08:01:31 +0000,"Tech leaders to make peace, or press their case, with Trump",CSCO,"Tech leaders to make peace, or press their case, with Trump",http://sg.finance.yahoo.com/news/tech-leaders-peace-press-case-080131558.html
75,BBG000C3JBN9,CSCO:UW,2016-12-13 21:56:59 +0000,InvestorPlace InvestorPlace Stock Market News Stock Advice amp Trading Tips Twilio Inc NYSE TWLO stock went public this year at 15 on the New York Stock Exchange on June 23 and surged 92 on the first day of trading closing at 28 79,CSCO,"Should You Buy Twilio Inc (TWLO) Stock? 3 Pros, 3 Cons",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/zrQ8xErpY8E/should-you-buy-twilio-inc-twlo-stock-3-pros-3-cons-cm720983
76,BBG000C3JBN9,CSCO:UW,2016-12-13 21:56:46 +0000,The NASDAQ 100 After Hours Indicator is up 99 to 4 936 83 The total After hours volume is currently 35 998 926 shares traded The following are the most active stocks for the after hours session PowerShares QQQ Trust Series 1 QQQ is 0 023 at 120 48 with 2 886,CSCO,"After Hours Most Active for Dec 13, 2016 :  QQQ, SWN, MSFT, GE, AGN, V, CHK, XRX, CSCO, AAPL, INTC, AAXJ",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Cci8USJ5MAM/after-hours-most-active-for-dec-13-2016-qqq-swn-msft-ge-agn-v-chk-xrx-csco-aapl-intc-aaxj-cm720995
77,BBG000C3JBN9,CSCO:UW,2016-12-13 21:56:40 +0000,Tomorrow all eyes will be on New York City s Trump Tower as President Elect Donald Trump sits down with Silicon Valley s top tech leaders While the meeting s agenda has yet to be disclosed it is safe to assume themes like job creation immigration regulation and encryption will all be,CSCO,Tech and Trump: Can They Find Common Ground in New York?,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/2uZSE51od6A/tech-and-trump-can-they-find-common-ground-in-new-york-cm720977
78,BBG000C3JBN9,CSCO:UW,2016-12-13 21:28:50 +0000,"CISCO SYSTEMS, INC. Files SEC form 8-K, Submission of Matters to a Vote of Security Holders",CSCO,"CISCO SYSTEMS, INC. Files SEC form 8-K, Submission of Matters to a Vote of Security Holders",http://biz.yahoo.com/e/161213/csco8-k.html
79,BBG000C3JBN9,CSCO:UW,2016-12-13 21:03:57 +0000,IBM Turnaround? Credit Suisse Instead Sees Earnings Issues Ahead,CSCO,IBM Turnaround? Credit Suisse Instead Sees Earnings Issues Ahead,http://www.investors.com/news/technology/ibm-turnaround-credit-suisse-instead-says-its-peaked-for-now/
80,BBG000C3JBN9,CSCO:UW,2016-12-13 20:57:23 +0000,InvestorPlace InvestorPlace Stock Market News Stock Advice amp Trading Tips Technology company Cisco Systems Inc NASDAQ CSCO has been down in the dumps after its most recent earnings report showed that sales in the second quarter were expected to be down 2 to 4 This,CSCO,"3 Reasons Why Cisco Systems, Inc. (CSCO) Stock Is a Buy Now",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/kNq1dkr-7Pc/3-reasons-why-cisco-systems-inc-csco-stock-is-a-buy-now-cm720949
81,BBG000C3JBN9,CSCO:UW,2016-12-13 18:31:00 +0000,"[at Investopedia] - While still in a legal fight with Cisco, Wells Fargo sees Arista's routing sales tripling.",CSCO,Analyst: Arista to Gain on Competitors in Routing,http://www.investopedia.com/news/analyst-arista-gain-competitors-routing/?partner=YahooSA
82,BBG000C3JBN9,CSCO:UW,2016-12-13 16:59:45 +0000,Motley Fool Explorer a dvisor 160 Simon Erickson recently spoke with Clayton Christensen who is the world s pioneer and foremost thinker in the theory of disruptive innovation You can listen to their conversation above or scroll down below for the full transcript,CSCO,2 Must-Know Investing Tips From Clayton Christensen,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/-ynYpfhNR34/2-must-know-investing-tips-from-clayton-christensen-cm720847
83,BBG000C3JBN9,CSCO:UW,2016-12-13 16:51:03 +0000,Tech leaders couldn't beat Trump; they'll meet him instead,CSCO,Tech leaders couldn't beat Trump; they'll meet him instead,http://finance.yahoo.com/news/tech-leaders-couldnt-beat-trump-165114968.html
84,BBG000C3JBN9,CSCO:UW,2016-12-13 15:20:23 +0000,Deutsche Bank Out With Top Tech Networking Stocks for 2017,CSCO,Deutsche Bank Out With Top Tech Networking Stocks for 2017,http://247wallst.com/technology-3/2016/12/13/deutsche-bank-out-with-top-tech-networking-stocks-for-2017/
85,BBG000C3JBN9,CSCO:UW,2016-12-12 23:57:03 +0000,It was a mixed day on the stock market as investors reacted to a new production cut agreement from several non OPEC members that sent oil prices soaring as well as statements from President elect Trump that have caused diplomatic tensions between the U S and China Tech focused investors,CSCO,"Stock Market Roundup, Dec. 12: Oil Soars, Trump Clashes With China",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pj8UnmaqwgQ/stock-market-roundup-dec-12-oil-soars-trump-clashes-with-china-cm720412
86,BBG000C3JBN9,CSCO:UW,2016-12-12 21:57:19 +0000,Without its stellar group of cloud titan customers network gear maker Arista Networks ANET rise in the data center switching market vs goliath Cisco Systems CSCO might never have happened Now it s poised to make an even stronger move in the market,CSCO,"As Networks Speed Up, Arista Gains Ground On Giant Cisco",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/_y8WtxOk3TY/as-networks-speed-up-arista-gains-ground-on-giant-cisco-cm719133
87,BBG000C3JBN9,CSCO:UW,2016-12-12 21:40:26 +0000,"As Networks Speed Up, Arista Gains Ground On Giant Cisco",CSCO,"As Networks Speed Up, Arista Gains Ground On Giant Cisco",http://www.investors.com/research/the-new-america/how-arista-networks-cloud-strategy-jelled-with-microsoft-facebook/
88,BBG000C3JBN9,CSCO:UW,2016-12-12 21:35:37 +0000,Arista Networks Stock Slips As Cisco Legal Battle Escalates,CSCO,Arista Networks Stock Slips As Cisco Legal Battle Escalates,http://www.investors.com/news/technology/arista-network-stock-slips-as-cisco-legal-battle-escalates/
89,BBG000C3JBN9,CSCO:UW,2016-12-12 21:12:46 +0000,"Apple, Google Said Set For Trump Tech Summit; Amazon, Tesla, Too",CSCO,"Apple, Google Said Set For Trump Tech Summit; Amazon, Tesla, Too",http://www.investors.com/news/technology/apple-google-set-for-trump-tech-summit-amazon-netflix-ceos-may-miss/
90,BBG000C3JBN9,CSCO:UW,2016-12-12 21:01:14 +0000,Apple Reportedly Held Talks About Investing In Huge SoftBank Fund,CSCO,Apple Reportedly Held Talks About Investing In Huge SoftBank Fund,http://www.investors.com/news/technology/click/apple-reportedly-held-talks-about-investing-in-huge-softbank-fund/
