,figi,figi_ticker,publication_date,summary,ticker,title,url
51,BBG000C0GFS4,INTC:UW,2017-08-18 14:41:32 +0000,In about a month s time Apple NASDAQ AAPL will likely unveil its next generation iPhone lineup commonly referred to as the iPhone 7s iPhone 7s Plus and iPhone 8 for the premium OLED display packing variant Though these phones all promise to be amazing pieces,INTC,3 Killer Specs to Expect From the Apple Inc. iPhone 9,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/Ww5huPrUQls/3-killer-specs-to-expect-from-the-apple-inc-iphone-9-cm833889
52,BBG000C0GFS4,INTC:UW,2017-08-18 14:37:36 +0000,"Many analysts are bearish on Advanced Micro Devices (AMD), as its earnings growth was largely driven by the cryptocurrency growth instead of Ryzen 7 and 5 CPUs (central processing units).",INTC,What AMD’s Ryzen Threadripper Offers Consumers,http://finance.yahoo.com/r/7224f4d0-7dcf-3c47-a3fe-9796909152b3/what-amds-ryzen-threadripper-offers-consumers?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
53,BBG000C0GFS4,INTC:UW,2017-08-18 13:50:40 +0000,"The industry’s biggest players are working on quantum computing, says Jurica Dujmović.",INTC,The next revolution in computers is right around the corner,http://finance.yahoo.com/r/84c97c31-2f06-3c8e-92f0-908856d33bae/Story.aspx?guid=3899A99C-8286-11E7-958A-398BAC9EC20B&siteid=yhoof2&yptr=yahoo&.tsrc=rss
54,BBG000C0GFS4,INTC:UW,2017-08-18 13:41:41 +0000,For Immediate Release Chicago IL August 18 2017 Today Zacks Equity Research discusses the Industry Semiconductors including Intel NASDAQ INTC Free Report NVIDIA NASDAQ NVDA Free Report Xilinx NASDAQ XLNX Free Report and Facebook NASDAQ FB Free,INTC,"Zacks Industry Outlook Highlights: Intel, NVIDIA, Xilinx and Facebook",http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/rqwYNVuHshY/zacks-industry-outlook-highlights-intel-nvidia-xilinx-and-facebook-cm833776
55,BBG000C0GFS4,INTC:UW,2017-08-18 13:13:49 +0000,"After throwing in the towel on General Electric Company (NYSE:GE), the so-called “Murphy’s Law” was bound to get me.  For quite some time, I was bullish on GE stock.  Over the years, General Electric ended up as a jack-of-all-trades and master of none.",INTC,General Electric Company (GE) Stock Is Still the Same Old Trick,https://finance.yahoo.com/news/general-electric-company-ge-stock-131349986.html?.tsrc=rss
56,BBG000C0GFS4,INTC:UW,2017-08-18 13:07:46 +0000,Many analysts are bearish on Advanced Micro Devices (AMD) because of the uncertain growth coming from cryptocurrency miners.,INTC,These Factors Could Be Growth Catalysts for AMD,http://finance.yahoo.com/r/0959f903-96bd-354d-bd05-b338b49bd0a6/these-factors-could-be-growth-catalysts-for-amd?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
57,BBG000C0GFS4,INTC:UW,2017-08-18 12:30:00 +0000,"The Apple innovation engine, driven by both internal technology development efforts and external suppliers, never stops.",INTC,3 Killer Specs to Expect From the Apple Inc. iPhone 9,http://finance.yahoo.com/r/4cb78bfa-6c14-3b68-95fc-e2cd8e472e0e/3-killer-specs-to-expect-from-the-apple-inc-iphone.aspx?yptr=yahoo&.tsrc=rss
58,BBG000C0GFS4,INTC:UW,2017-08-18 11:49:11 +0000,"Zacks Industry Outlook Highlights: Intel, NVIDIA, Xilinx and Facebook",INTC,"Zacks Industry Outlook Highlights: Intel, NVIDIA, Xilinx and Facebook",https://finance.yahoo.com/news/zacks-industry-outlook-highlights-intel-114911224.html?.tsrc=rss
59,BBG000C0GFS4,INTC:UW,2017-08-18 11:38:51 +0000,"The tech and media sector has seen major developments recently, including some exciting partnerships and acquisitions. Let's look at what's to come.",INTC,Why Fiat Chrysler Joined BMW-Led Driverless Car Partnership,http://finance.yahoo.com/r/4dfbc2d9-5115-3ed5-86f7-111e1cbc6da8/why-fiat-chrysler-joined-bmw-led-driverless-car-partnership?utm_source=yahoo&utm_medium=feed&yptr=yahoo&.tsrc=rss
60,BBG000C0GFS4,INTC:UW,2017-08-18 00:36:57 +0000,Advanced Micro Devices Inc AMD recently unveiled its new Radeon RX Vega 56 and 64 graphics cards We believe that this launch will provide AMD an edge against NVIDIA s NVDA GeForce GTX 1080 and 1070 cards which were released last year Though the reviews have been moderately,INTC,AMD Unveils PC Graphics Cards to Compete Against NVIDIA,http://articlefeeds.nasdaq.com/~r/nasdaq/symbols/~3/pEsPrrt_dfE/amd-unveils-pc-graphics-cards-to-compete-against-nvidia-cm833662
